attendance,study_hours,past_failures,assignments_completed_pct,parental_education,family_income,extracurricular,internet_access,previous_grade,final_score,risk_category
87.42,10.12,2,100.0,Secondary,Low,Yes,Yes,46.8,76.08,Safe
71.54,1.38,3,36.7,Secondary,High,Yes,Yes,48.05,43.21,High-Risk
91.19,8.3,5,64.38,Secondary,Low,No,Yes,69.4,60.89,At-Risk
100.0,3.52,4,93.77,Secondary,Low,No,No,58.07,45.47,At-Risk
69.15,4.69,1,72.36,Primary,Low,Yes,Yes,50.55,37.15,High-Risk
69.15,6.19,1,51.56,Higher,Low,No,Yes,69.05,60.07,At-Risk
100.0,5.52,0,74.04,Secondary,Low,Yes,Yes,51.1,54.16,Safe
94.19,0.0,4,63.22,Secondary,Medium,Yes,Yes,77.87,72.62,High-Risk
63.26,11.53,0,84.07,Primary,High,No,Yes,76.09,88.52,Safe
88.56,10.54,1,100.0,Secondary,Low,Yes,Yes,100.0,90.86,Safe
63.41,5.41,2,78.01,Secondary,Low,Yes,Yes,38.47,64.87,At-Risk
63.36,9.74,4,93.74,Primary,Low,No,Yes,90.47,72.33,At-Risk
81.05,4.41,0,61.57,Secondary,Medium,No,Yes,100.0,69.31,At-Risk
27.17,2.07,2,51.59,Higher,High,Yes,Yes,96.6,33.95,High-Risk
31.88,6.22,3,83.63,Secondary,High,Yes,Yes,17.86,60.56,High-Risk
60.94,1.32,5,68.75,Secondary,Medium,No,No,80.55,33.51,High-Risk
49.68,8.44,1,90.23,Secondary,High,No,No,72.17,73.97,At-Risk
82.86,3.19,1,81.91,Higher,Low,No,Yes,96.12,65.78,At-Risk
52.3,0.0,4,100.0,Secondary,Medium,Yes,Yes,48.69,67.99,High-Risk
39.69,0.0,3,83.35,Higher,High,Yes,Yes,70.15,38.81,High-Risk
100.0,5.49,0,82.08,Higher,Low,No,Yes,70.64,66.45,Safe
69.36,7.28,4,81.7,Secondary,Medium,Yes,Yes,38.85,50.39,At-Risk
76.69,11.35,0,70.64,Secondary,Low,No,Yes,99.29,73.39,Safe
39.38,0.0,1,51.14,Secondary,Low,Yes,Yes,100.0,27.81,High-Risk
61.39,10.04,1,81.68,Higher,Medium,No,Yes,61.71,66.7,At-Risk
77.77,4.05,3,100.0,Primary,High,Yes,Yes,63.15,66.53,At-Risk
46.23,5.75,5,68.64,Secondary,Low,Yes,Yes,30.01,37.82,High-Risk
84.39,6.02,2,72.73,Secondary,High,No,Yes,100.0,74.18,At-Risk
59.98,5.96,0,86.71,Secondary,Medium,No,Yes,80.08,64.06,At-Risk
67.71,0.0,2,83.73,Higher,Low,Yes,Yes,82.39,61.38,High-Risk
59.96,8.86,3,68.34,none,High,No,Yes,100.0,60.74,At-Risk
100.0,9.34,3,87.54,Higher,Medium,No,Yes,68.05,89.4,Safe
74.66,9.83,0,48.53,Higher,Low,Yes,Yes,66.89,69.1,At-Risk
48.56,7.95,4,55.58,Secondary,Medium,No,Yes,63.42,48.32,High-Risk
95.56,5.17,0,40.15,Higher,Low,Yes,Yes,77.45,53.5,At-Risk
44.48,0.13,3,100.0,Secondary,Medium,Yes,Yes,76.46,57.76,High-Risk
80.22,7.79,4,74.03,Secondary,Medium,No,No,89.72,67.08,At-Risk
26.01,6.15,3,70.82,Secondary,Low,No,Yes,60.03,50.44,High-Risk
41.8,5.99,3,55.8,none,Low,Yes,Yes,100.0,62.95,High-Risk
79.92,7.76,3,81.98,Higher,Low,Yes,Yes,77.32,74.59,At-Risk
93.46,5.82,3,81.46,Higher,Low,Yes,Yes,81.04,82.14,Safe
79.28,4.22,1,75.94,Secondary,Medium,Yes,Yes,100.0,71.6,At-Risk
72.11,1.28,1,87.16,Secondary,Low,No,Yes,89.4,53.93,At-Risk
67.47,5.98,3,95.27,Higher,Medium,Yes,Yes,75.57,66.97,At-Risk
38.04,11.89,3,100.0,Secondary,Medium,Yes,Yes,45.18,61.76,At-Risk
57.0,1.59,4,57.18,Secondary,Low,No,No,86.03,47.47,High-Risk
63.48,10.01,3,80.75,Primary,Low,Yes,Yes,66.89,61.71,At-Risk
100.0,8.86,3,43.64,Secondary,High,Yes,Yes,74.41,55.45,At-Risk
83.59,0.0,0,61.65,Secondary,Medium,No,Yes,31.66,61.79,High-Risk
30.92,8.43,2,37.83,Secondary,Low,Yes,Yes,87.04,40.55,High-Risk
83.1,6.07,0,91.67,Primary,Low,Yes,Yes,94.64,78.98,Safe
65.37,5.67,0,69.16,Primary,High,No,Yes,84.24,71.81,At-Risk
58.08,13.98,4,50.16,Higher,Low,No,Yes,100.0,58.93,At-Risk
90.29,9.77,0,55.19,Secondary,Medium,Yes,Yes,96.43,74.59,Safe
100.0,2.29,4,80.69,Higher,Low,No,Yes,46.98,76.7,At-Risk
98.28,8.56,2,87.29,none,Low,No,Yes,24.81,71.0,Safe
54.02,2.33,3,100.0,Secondary,Medium,No,No,75.16,54.65,High-Risk
67.27,2.5,5,50.43,Secondary,High,Yes,Yes,90.08,40.53,High-Risk
83.28,6.64,2,88.29,Secondary,High,No,Yes,39.81,61.57,At-Risk
99.39,10.69,4,55.24,Higher,Low,Yes,Yes,42.99,66.29,At-Risk
63.02,0.05,0,95.29,Secondary,Low,Yes,Yes,67.68,71.85,High-Risk
70.36,3.98,2,100.0,Higher,Low,No,Yes,10.66,52.09,At-Risk
47.34,10.7,2,90.33,Higher,Low,Yes,Yes,47.79,64.65,At-Risk
45.09,2.24,1,39.69,Primary,Medium,Yes,Yes,50.87,59.28,High-Risk
95.31,6.13,0,72.8,Secondary,High,No,Yes,58.55,71.3,Safe
100.0,4.76,2,97.3,none,Low,Yes,Yes,52.32,74.16,Safe
73.2,11.11,0,99.69,Secondary,Low,Yes,Yes,79.2,87.91,Safe
100.0,7.28,3,95.53,Higher,Low,Yes,Yes,41.89,69.23,Safe
84.04,4.81,0,31.36,Secondary,Low,No,Yes,34.14,47.7,High-Risk
58.87,2.65,2,32.9,Higher,High,No,Yes,100.0,40.69,High-Risk
84.03,14.42,2,71.21,Higher,Low,No,Yes,92.44,76.35,Safe
100.0,5.7,2,98.94,Secondary,Low,Yes,Yes,31.43,72.2,At-Risk
74.1,5.09,2,90.26,none,Low,No,Yes,79.72,60.11,At-Risk
100.0,8.0,4,55.56,Secondary,Medium,Yes,Yes,82.27,64.68,At-Risk
10.0,8.88,2,76.26,Secondary,Low,Yes,Yes,100.0,46.44,High-Risk
95.55,0.4,5,45.7,Primary,Medium,Yes,Yes,45.39,27.14,High-Risk
77.18,5.24,3,71.32,Primary,Medium,Yes,Yes,85.37,56.75,At-Risk
67.52,1.71,3,73.9,Secondary,Low,Yes,Yes,70.2,55.33,High-Risk
